HOSP_ADMSN_TIME,number,,
1/3/2020 0:00,5,8.8,10.5
2/3/2020 0:00,8,,
3/3/2020 0:00,7,,
4/3/2020 0:00,10,,
5/3/2020 0:00,14,,
6/3/2020 0:00,11,12.2,
7/3/2020 0:00,6,,
8/3/2020 0:00,9,,
9/3/2020 0:00,20,,
10/3/2020 0:00,15,,
11/3/2020 0:00,13,17.4,30.7
12/3/2020 0:00,23,,
13/3/2020 0:00,12,,
14/3/2020 0:00,16,,
15/3/2020 0:00,23,,
16/3/2020 0:00,25,44,
17/3/2020 0:00,30,,
18/3/2020 0:00,41,,
19/3/2020 0:00,47,,
20/3/2020 0:00,77,,
21/3/2020 0:00,54,71.6,100
22/3/2020 0:00,43,,
23/3/2020 0:00,78,,
24/3/2020 0:00,73,,
25/3/2020 0:00,110,,
26/3/2020 0:00,117,128.4,
27/3/2020 0:00,117,,
28/3/2020 0:00,116,,
29/3/2020 0:00,125,,
30/3/2020 0:00,167,,
31/3/2020 0:00,153,123.2,117.2
1/4/2020 0:00,123,,
2/4/2020 0:00,120,,
3/4/2020 0:00,130,,
4/4/2020 0:00,90,,
5/4/2020 0:00,91,111.2,
6/4/2020 0:00,111,,
7/4/2020 0:00,133,,
8/4/2020 0:00,119,,
9/4/2020 0:00,102,,
10/4/2020 0:00,118,83.4,70.3
11/4/2020 0:00,62,,
12/4/2020 0:00,77,,
13/4/2020 0:00,79,,
14/4/2020 0:00,81,,
15/4/2020 0:00,59,57.2,
16/4/2020 0:00,62,,
17/4/2020 0:00,55,,
18/4/2020 0:00,67,,
19/4/2020 0:00,43,,
20/4/2020 0:00,61,49,41.3
21/4/2020 0:00,64,,
22/4/2020 0:00,47,,
23/4/2020 0:00,36,,
24/4/2020 0:00,37,,
25/4/2020 0:00,30,33.6,
26/4/2020 0:00,27,,
27/4/2020 0:00,30,,
28/4/2020 0:00,50,,
29/4/2020 0:00,31,,
30/4/2020 0:00,30,28.4,27.6
1/5/2020 0:00,26,,
2/5/2020 0:00,27,,
3/5/2020 0:00,18,,
4/5/2020 0:00,41,,
5/5/2020 0:00,28,26.8,
6/5/2020 0:00,26,,
7/5/2020 0:00,27,,
8/5/2020 0:00,35,,
9/5/2020 0:00,18,,
10/5/2020 0:00,13,23.8,19.7
11/5/2020 0:00,30,,
12/5/2020 0:00,24,,
13/5/2020 0:00,29,,
14/5/2020 0:00,23,,
15/5/2020 0:00,30,15.6,
16/5/2020 0:00,10,,
17/5/2020 0:00,10,,
18/5/2020 0:00,11,,
19/5/2020 0:00,17,,
20/5/2020 0:00,10,13,15
21/5/2020 0:00,23,,
22/5/2020 0:00,11,,
23/5/2020 0:00,16,,
24/5/2020 0:00,5,,
25/5/2020 0:00,11,17,
26/5/2020 0:00,20,,
27/5/2020 0:00,12,,
28/5/2020 0:00,22,,
29/5/2020 0:00,20,,
30/5/2020 0:00,7,13.2,12
31/5/2020 0:00,13,,
1/6/2020 0:00,16,,
2/6/2020 0:00,11,,
3/6/2020 0:00,19,,
4/6/2020 0:00,13,10.8,
5/6/2020 0:00,19,,
6/6/2020 0:00,6,,
7/6/2020 0:00,6,,
8/6/2020 0:00,10,,
9/6/2020 0:00,12,10.4,10.5
10/6/2020 0:00,14,,
11/6/2020 0:00,5,,
12/6/2020 0:00,12,,
13/6/2020 0:00,9,,
14/6/2020 0:00,7,10.6,
15/6/2020 0:00,10,,
16/6/2020 0:00,11,,
17/6/2020 0:00,11,,
18/6/2020 0:00,14,,
19/6/2020 0:00,15,8,9.4
20/6/2020 0:00,2,,
21/6/2020 0:00,2,,
22/6/2020 0:00,12,,
23/6/2020 0:00,9,,
24/6/2020 0:00,6,10.8,
25/6/2020 0:00,16,,
26/6/2020 0:00,10,,
27/6/2020 0:00,10,,
28/6/2020 0:00,12,,
29/6/2020 0:00,10,10,10
30/6/2020 0:00,10,,
1/7/2020 0:00,15,,
2/7/2020 0:00,9,,
3/7/2020 0:00,6,,
4/7/2020 0:00,9,10,
5/7/2020 0:00,4,,
6/7/2020 0:00,15,,
7/7/2020 0:00,9,,
8/7/2020 0:00,13,,
9/7/2020 0:00,15,10.8,10
10/7/2020 0:00,12,,
11/7/2020 0:00,7,,
12/7/2020 0:00,6,,
13/7/2020 0:00,14,,
14/7/2020 0:00,8,9.2,
15/7/2020 0:00,14,,
16/7/2020 0:00,10,,
17/7/2020 0:00,8,,
18/7/2020 0:00,6,,
19/7/2020 0:00,6,4.2,5.25
20/7/2020 0:00,7,,
21/7/2020 0:00,5,,
22/7/2020 0:00,3,,
